# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
	🚶🏽;person walking: medium skin tone;hike|medium skin tone|person walking|person walking: medium skin tone|walk|walking
	🚶🏾;person walking: medium-dark skin tone;hike|medium-dark skin tone|person walking|person walking: medium-dark skin tone|walk|walking
	🚶🏿;person walking: dark skin tone;dark skin tone|hike|person walking|person walking: dark skin tone|walk|walking
🚶‍♂️;man walking;hike|man|man walking|walk
	🚶🏻‍♂️;man walking: light skin tone;hike|light skin tone|man|man walking|man walking: light skin tone|walk
	🚶🏼‍♂️;man walking: medium-light skin tone;hike|man|man walking|man walking: medium-light skin tone|medium-light skin tone|walk
	🚶🏽‍♂️;man walking: medium skin tone;hike|man|man walking|man walking: medium skin tone|medium skin tone|walk
	🚶🏾‍♂️;man walking: medium-dark skin tone;hike|man|man walking|man walking: medium-dark skin tone|medium-dark skin tone|walk
	🚶🏿‍♂️;man walking: dark skin tone;dark skin tone|hike|man|man walking|man walking: dark skin tone|walk
🚶‍♀️;woman walking;hike|walk|woman|woman walking
	🚶🏻‍♀️;woman walking: light skin tone;hike|light skin tone|walk|woman|woman walking|woman walking: light skin tone
	🚶🏼‍♀️;woman walking: medium-light skin tone;hike|medium-light skin tone|walk|woman|woman walking|woman walking: medium-light skin tone
	🚶🏽‍♀️;woman walking: medium skin tone;hike|medium skin tone|walk|woman|woman walking|woman walking: medium skin tone
	🚶🏾‍♀️;woman walking: medium-dark skin tone;hike|medium-dark skin tone|walk|woman|woman walking|woman walking: medium-dark skin tone
	🚶🏿‍♀️;woman walking: dark skin tone;dark skin tone|hike|walk|woman|woman walking|woman walking: dark skin tone
🚶‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
	🚶🏻‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
	🚶🏼‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
	🚶🏽‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
	🚶🏾‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
	🚶🏿‍➡️;person walking facing right;hike|person walking|person walking facing right|walk|walking
🚶‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
	🚶🏻‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
	🚶🏼‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
	🚶🏽‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
	🚶🏾‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
	🚶🏿‍♀️‍➡️;woman walking facing right;hike|walk|woman|woman walking|woman walking facing right
🚶‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
	🚶🏻‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
	🚶🏼‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
	🚶🏽‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
	🚶🏾‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
	🚶🏿‍♂️‍➡️;man walking facing right;hike|man|man walking|man walking facing right|walk
🧍;person standing;person standing|stand|standing
	🧍🏻;person standing: light skin tone;light skin tone|person standing|person standing: light skin tone|stand|standing
	🧍🏼;person standing: medium-light skin tone;medium-light skin tone|person standing|person standing: medium-light skin tone|stand|standing
	🧍🏽;person standing: medium skin tone;medium skin tone|person standing|person standing: medium skin tone|stand|standing
	🧍🏾;person standing: medium-dark skin tone;medium-dark skin tone|person standing|person standing: medium-dark skin tone|stand|standing
	🧍🏿;person standing: dark skin tone;dark skin tone|person standing|person standing: dark skin tone|stand|standing
🧍‍♂️;man standing;man|standing
	🧍🏻‍♂️;man standing: light skin tone;light skin tone|man|man standing: light skin tone|standing
	🧍🏼‍♂️;man standing: medium-light skin tone;man|man standing: medium-light skin tone|medium-light skin tone|standing
	🧍🏽‍♂️;man standing: medium skin tone;man|man standing: medium skin tone|medium skin tone|standing
	🧍🏾‍♂️;man standing: medium-dark skin tone;man|man standing: medium-dark skin tone|medium-dark skin tone|standing
	🧍🏿‍♂️;man standing: dark skin tone;dark skin tone|man|man standing: dark skin tone|standing
🧍‍♀️;woman standing;standing|woman
	🧍🏻‍♀️;woman standing: light skin tone;light skin tone|standing|woman|woman standing: light skin tone
	🧍🏼‍♀️;woman standing: medium-light skin tone;medium-light skin tone|standing|woman|woman standing: medium-light skin tone
	🧍🏽‍♀️;woman standing: medium skin tone;medium skin tone|standing|woman|woman standing: medium skin tone
	🧍🏾‍♀️;woman standing: medium-dark skin tone;medium-dark skin tone|standing|woman|woman standing: medium-dark skin tone
	🧍🏿‍♀️;woman standing: dark skin tone;dark skin tone|standing|woman|woman standing: dark skin tone
🧎;person kneeling;kneel|kneeling|person kneeling
	🧎🏻;person kneeling: light skin tone;kneel|kneeling|light skin tone|person kneeling|person kneeling: light skin tone
	🧎🏼;person kneeling: medium-light skin tone;kneel|kneeling|medium-light skin tone|person kneeling|person kneeling: medium-light skin tone
	🧎🏽;person kneeling: medium skin tone;kneel|kneeling|medium skin tone|person kneeling|person kneeling: medium skin tone
	🧎🏾;person kneeling: medium-dark skin tone;kneel|kneeling|medium-dark skin tone|person kneeling|person kneeling: medium-dark skin tone
	🧎🏿;person kneeling: dark skin tone;dark skin tone|kneel|kneeling|person kneeling|person kneeling: dark skin tone
🧎‍♂️;man kneeling;kneeling|man
	🧎🏻‍♂️;man kneeling: light skin tone;kneeling|light skin tone|man|man kneeling: light skin tone
	🧎🏼‍♂️;man kneeling: medium-light skin tone;kneeling|man|man kneeling: medium-light skin tone|medium-light skin tone
	🧎🏽‍♂️;man kneeling: medium skin tone;kneeling|man|man kneeling: medium skin tone|medium skin tone
	🧎🏾‍♂️;man kneeling: medium-dark skin tone;kneeling|man|man kneeling: medium-dark skin tone|medium-dark skin tone
	🧎🏿‍♂️;man kneeling: dark skin tone;dark skin tone|kneeling|man|man kneeling: dark skin tone
🧎‍♀️;woman kneeling;kneeling|woman
	🧎🏻‍♀️;woman kneeling: light skin tone;kneeling|light skin tone|woman|woman kneeling: light skin tone
	🧎🏼‍♀️;woman kneeling: medium-light skin tone;kneeling|medium-light skin tone|woman|woman kneeling: medium-light skin tone
	🧎🏽‍♀️;woman kneeling: medium skin tone;kneeling|medium skin tone|woman|woman kneeling: medium skin tone
	🧎🏾‍♀️;woman kneeling: medium-dark skin tone;kneeling|medium-dark skin tone|woman|woman kneeling: medium-dark skin tone
	🧎🏿‍♀️;woman kneeling: dark skin tone;dark skin tone|kneeling|woman|woman kneeling: dark skin tone
🧎‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
	🧎🏻‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
	🧎🏼‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
	🧎🏽‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
	🧎🏾‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
	🧎🏿‍➡️;person kneeling facing right;kneel|kneeling|person kneeling|person kneeling facing right
🧎‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
	🧎🏻‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
	🧎🏼‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
	🧎🏽‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
	🧎🏾‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
	🧎🏿‍♀️‍➡️;woman kneeling facing right;kneeling|woman|woman kneeling facing right
🧎‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
	🧎🏻‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
	🧎🏼‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
	🧎🏽‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
	🧎🏾‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
	🧎🏿‍♂️‍➡️;man kneeling facing right;kneeling|man|man kneeling facing right
🧑‍🦯;person with white cane;accessibility|blind|person with white cane
	🧑🏻‍🦯;person with white cane: light skin tone;accessibility|blind|light skin tone|person with white cane|person with white cane: light skin tone
	🧑🏼‍🦯;person with white cane: medium-light skin tone;accessibility|blind|medium-light skin tone|person with white cane|person with white cane: medium-light skin tone
	🧑🏽‍🦯;person with white cane: medium skin tone;accessibility|blind|medium skin tone|person with white cane|person with white cane: medium skin tone
	🧑🏾‍🦯;person with white cane: medium-dark skin tone;accessibility|blind|medium-dark skin tone|person with white cane|person with white cane: medium-dark skin tone
	🧑🏿‍🦯;person with white cane: dark skin tone;accessibility|blind|dark skin tone|person with white cane|person with white cane: dark skin tone
🧑‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
	🧑🏻‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
	🧑🏼‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
	🧑🏽‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
	🧑🏾‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
	🧑🏿‍🦯‍➡️;person with white cane facing right;accessibility|blind|person with white cane|person with white cane facing right
👨‍🦯;man with white cane;accessibility|blind|man|man with white cane
	👨🏻‍🦯;man with white cane: light skin tone;accessibility|blind|light skin tone|man|man with white cane|man with white cane: light skin tone
	👨🏼‍🦯;man with white cane: medium-light skin tone;accessibility|blind|man|man with white cane|man with white cane: medium-light skin tone|medium-light skin tone
	👨🏽‍🦯;man with white cane: medium skin tone;accessibility|blind|man|man with white cane|man with white cane: medium skin tone|medium skin tone
	👨🏾‍🦯;man with white cane: medium-dark skin tone;accessibility|blind|man|man with white cane|man with white cane: medium-dark skin tone|medium-dark skin tone
	👨🏿‍🦯;man with white cane: dark skin tone;accessibility|blind|dark skin tone|man|man with white cane|man with white cane: dark skin tone
👨‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
	👨🏻‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
	👨🏼‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
	👨🏽‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
	👨🏾‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
	👨🏿‍🦯‍➡️;man with white cane facing right;accessibility|blind|man|man with white cane|man with white cane facing right
👩‍🦯;woman with white cane;accessibility|blind|woman|woman with white cane
	👩🏻‍🦯;woman with white cane: light skin tone;accessibility|blind|light skin tone|woman|woman with white cane|woman with white cane: light skin tone
	👩🏼‍🦯;woman with white cane: medium-light skin tone;accessibility|blind|medium-light skin tone|woman|woman with white cane|woman with white cane: medium-light skin tone
	👩🏽‍🦯;woman with white cane: medium skin tone;accessibility|blind|medium skin tone|woman|woman with white cane|woman with white cane: medium skin tone
	👩🏾‍🦯;woman with white cane: medium-dark skin tone;accessibility|blind|medium-dark skin tone|woman|woman with white cane|woman with white cane: medium-dark skin tone
	👩🏿‍🦯;woman with white cane: dark skin tone;accessibility|blind|dark skin tone|woman|woman with white cane|woman with white cane: dark skin tone
👩‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
	👩🏻‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
	👩🏼‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
	👩🏽‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
	👩🏾‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
	👩🏿‍🦯‍➡️;woman with white cane facing right;accessibility|blind|woman|woman with white cane|woman with white cane facing right
🧑‍🦼;person in motorized wheelchair;accessibility|person in motorized wheelchair|wheelchair
	🧑🏻‍🦼;person in motorized wheelchair: light skin tone;accessibility|light skin tone|person in motorized wheelchair|person in motorized wheelchair: light skin tone|wheelchair
	🧑🏼‍🦼;person in motorized wheelchair: medium-light skin tone;accessibility|medium-light skin tone|person in motorized wheelchair|person in motorized wheelchair: medium-light skin tone|wheelchair
	🧑🏽‍🦼;person in motorized wheelchair: medium skin tone;accessibility|medium skin tone|person in motorized wheelchair|person in motorized wheelchair: medium skin tone|wheelchair
	🧑🏾‍🦼;person in motorized wheelchair: medium-dark skin tone;accessibility|medium-dark skin tone|person in motorized wheelchair|person in motorized wheelchair: medium-dark skin tone|wheelchair
	🧑🏿‍🦼;person in motorized wheelchair: dark skin tone;accessibility|dark skin tone|person in motorized wheelchair|person in motorized wheelchair: dark skin tone|wheelchair
🧑‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
	🧑🏻‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
	🧑🏼‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
	🧑🏽‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
	🧑🏾‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
	🧑🏿‍🦼‍➡️;person in motorized wheelchair facing right;accessibility|person in motorized wheelchair|person in motorized wheelchair facing right|wheelchair
👨‍🦼;man in motorized wheelchair;accessibility|man|man in motorized wheelchair|wheelchair
	👨🏻‍🦼;man in motorized wheelchair: light skin tone;accessibility|light skin tone|man|man in motorized wheelchair|man in motorized wheelchair: light skin tone|wheelchair
	👨🏼‍🦼;man in motorized wheelchair: medium-light skin tone;accessibility|man|man in motorized wheelchair|man in motorized wheelchair: medium-light skin tone|medium-light skin tone|wheelchair
	👨🏽‍🦼;man in motorized wheelchair: medium skin tone;accessibility|man|man in motorized wheelchair|man in motorized wheelchair: medium skin tone|medium skin tone|wheelchair
	👨🏾‍🦼;man in motorized wheelchair: medium-dark skin tone;accessibility|man|man in motorized wheelchair|man in motorized wheelchair: medium-dark skin tone|medium-dark skin tone|wheelchair
	👨🏿‍🦼;man in motorized wheelchair: dark skin tone;accessibility|dark skin tone|man|man in motorized wheelchair|man in motorized wheelchair: dark skin tone|wheelchair
👨‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
	👨🏻‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
	👨🏼‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
	👨🏽‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
	👨🏾‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
	👨🏿‍🦼‍➡️;man in motorized wheelchair facing right;accessibility|man|man in motorized wheelchair|man in motorized wheelchair facing right|wheelchair
👩‍🦼;woman in motorized wheelchair;accessibility|wheelchair|woman|woman in motorized wheelchair
	👩🏻‍🦼;woman in motorized wheelchair: light skin tone;accessibility|light skin tone|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair: light skin tone
	👩🏼‍🦼;woman in motorized wheelchair: medium-light skin tone;accessibility|medium-light skin tone|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair: medium-light skin tone
	👩🏽‍🦼;woman in motorized wheelchair: medium skin tone;accessibility|medium skin tone|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair: medium skin tone
	👩🏾‍🦼;woman in motorized wheelchair: medium-dark skin tone;accessibility|medium-dark skin tone|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair: medium-dark skin tone
	👩🏿‍🦼;woman in motorized wheelchair: dark skin tone;accessibility|dark skin tone|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair: dark skin tone
👩‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
	👩🏻‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
	👩🏼‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
	👩🏽‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
	👩🏾‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
	👩🏿‍🦼‍➡️;woman in motorized wheelchair facing right;accessibility|wheelchair|woman|woman in motorized wheelchair|woman in motorized wheelchair facing right
🧑‍🦽;person in manual wheelchair;accessibility|person in manual wheelchair|wheelchair
	🧑🏻‍🦽;person in manual wheelchair: light skin tone;accessibility|light skin tone|person in manual wheelchair|person in manual wheelchair: light skin tone|wheelchair
	🧑🏼‍🦽;person in manual wheelchair: medium-light skin tone;accessibility|medium-light skin tone|person in manual wheelchair|person in manual wheelchair: medium-light skin tone|wheelchair
	🧑🏽‍🦽;person in manual wheelchair: medium skin tone;accessibility|medium skin tone|person in manual wheelchair|person in manual wheelchair: medium skin tone|wheelchair
	🧑🏾‍🦽;person in manual wheelchair: medium-dark skin tone;accessibility|medium-dark skin tone|person in manual wheelchair|person in manual wheelchair: medium-dark skin tone|wheelchair
	🧑🏿‍🦽;person in manual wheelchair: dark skin tone;accessibility|dark skin tone|person in manual wheelchair|person in manual wheelchair: dark skin tone|wheelchair
🧑‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
	🧑🏻‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
	🧑🏼‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
	🧑🏽‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
	🧑🏾‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
	🧑🏿‍🦽‍➡️;person in manual wheelchair facing right;accessibility|person in manual wheelchair|person in manual wheelchair facing right|wheelchair
👨‍🦽;man in manual wheelchair;accessibility|man|man in manual wheelchair|wheelchair
	👨🏻‍🦽;man in manual wheelchair: light skin tone;accessibility|light skin tone|man|man in manual wheelchair|man in manual wheelchair: light skin tone|wheelchair
	👨🏼‍🦽;man in manual wheelchair: medium-light skin tone;accessibility|man|man in manual wheelchair|man in manual wheelchair: medium-light skin tone|medium-light skin tone|wheelchair
	👨🏽‍🦽;man in manual wheelchair: medium skin tone;accessibility|man|man in manual wheelchair|man in manual wheelchair: medium skin tone|medium skin tone|wheelchair
	👨🏾‍🦽;man in manual wheelchair: medium-dark skin tone;accessibility|man|man in manual wheelchair|man in manual wheelchair: medium-dark skin tone|medium-dark skin tone|wheelchair
	👨🏿‍🦽;man in manual wheelchair: dark skin tone;accessibility|dark skin tone|man|man in manual wheelchair|man in manual wheelchair: dark skin tone|wheelchair
👨‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
	👨🏻‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
	👨🏼‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
	👨🏽‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
	👨🏾‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
	👨🏿‍🦽‍➡️;man in manual wheelchair facing right;accessibility|man|man in manual wheelchair|man in manual wheelchair facing right|wheelchair
👩‍🦽;woman in manual wheelchair;accessibility|wheelchair|woman|woman in manual wheelchair
	👩🏻‍🦽;woman in manual wheelchair: light skin tone;accessibility|light skin tone|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair: light skin tone
	👩🏼‍🦽;woman in manual wheelchair: medium-light skin tone;accessibility|medium-light skin tone|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair: medium-light skin tone
	👩🏽‍🦽;woman in manual wheelchair: medium skin tone;accessibility|medium skin tone|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair: medium skin tone
	👩🏾‍🦽;woman in manual wheelchair: medium-dark skin tone;accessibility|medium-dark skin tone|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair: medium-dark skin tone
	👩🏿‍🦽;woman in manual wheelchair: dark skin tone;accessibility|dark skin tone|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair: dark skin tone
👩‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
	👩🏻‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
	👩🏼‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
	👩🏽‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
	👩🏾‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
	👩🏿‍🦽‍➡️;woman in manual wheelchair facing right;accessibility|wheelchair|woman|woman in manual wheelchair|woman in manual wheelchair facing right
🏃;person running;marathon|person running|running
	🏃🏻;person running: light skin tone;light skin tone|marathon|person running|person running: light skin tone|running
	🏃🏼;person running: medium-light skin tone;marathon|medium-light skin tone|person running|person running: medium-light skin tone|running
	🏃🏽;person running: medium skin tone;marathon|medium skin tone|person running|person running: medium skin tone|running
	🏃🏾;person running: medium-dark skin tone;marathon|medium-dark skin tone|person running|person running: medium-dark skin tone|running
	🏃🏿;person running: dark skin tone;dark skin tone|marathon|person running|person running: dark skin tone|running
🏃‍♂️;man running;man|marathon|racing|running
	🏃🏻‍♂️;man running: light skin tone;light skin tone|man|man running: light skin tone|marathon|racing|running
	🏃🏼‍♂️;man running: medium-light skin tone;man|man running: medium-light skin tone|marathon|medium-light skin tone|racing|running
	🏃🏽‍♂️;man running: medium skin tone;man|man running: medium skin tone|marathon|medium skin tone|racing|running
	🏃🏾‍♂️;man running: medium-dark skin tone;man|man running: medium-dark skin tone|marathon|medium-dark skin tone|racing|running
	🏃🏿‍♂️;man running: dark skin tone;dark skin tone|man|man running: dark skin tone|marathon|racing|running
🏃‍♀️;woman running;marathon|racing|running|woman
	🏃🏻‍♀️;woman running: light skin tone;light skin tone|marathon|racing|running|woman|woman running: light skin tone
	🏃🏼‍♀️;woman running: medium-light skin tone;marathon|medium-light skin tone|racing|running|woman|woman running: medium-light skin tone
	🏃🏽‍♀️;woman running: medium skin tone;marathon|medium skin tone|racing|running|woman|woman running: medium skin tone
	🏃🏾‍♀️;woman running: medium-dark skin tone;marathon|medium-dark skin tone|racing|running|woman|woman running: medium-dark skin tone
	🏃🏿‍♀️;woman running: dark skin tone;dark skin tone|marathon|racing|running|woman|woman running: dark skin tone
🏃‍➡️;person running facing right;marathon|person running|person running facing right|running
	🏃🏻‍➡️;person running facing right;marathon|person running|person running facing right|running
	🏃🏼‍➡️;person running facing right;marathon|person running|person running facing right|running
	🏃🏽‍➡️;person running facing right;marathon|person running|person running facing right|running
	🏃🏾‍➡️;person running facing right;marathon|person running|person running facing right|running
	🏃🏿‍➡️;person running facing right;marathon|person running|person running facing right|running
🏃‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
	🏃🏻‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
	🏃🏼‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
	🏃🏽‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
	🏃🏾‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
	🏃🏿‍♀️‍➡️;woman running facing right;marathon|racing|running|woman|woman running facing right
🏃‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
	🏃🏻‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
	🏃🏼‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
	🏃🏽‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
	🏃🏾‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
	🏃🏿‍♂️‍➡️;man running facing right;man|man running facing right|marathon|racing|running
💃;woman dancing;dance|dancing|woman
	💃🏻;woman dancing: light skin tone;dance|dancing|light skin tone|woman|woman dancing: light skin tone
	💃🏼;woman dancing: medium-light skin tone;dance|dancing|medium-light skin tone|woman|woman dancing: medium-light skin tone
	💃🏽;woman dancing: medium skin tone;dance|dancing|medium skin tone|woman|woman dancing: medium skin tone
	💃🏾;woman dancing: medium-dark skin tone;dance|dancing|medium-dark skin tone|woman|woman dancing: medium-dark skin tone
	💃🏿;woman dancing: dark skin tone;dance|dancing|dark skin tone|woman|woman dancing: dark skin tone
🕺;man dancing;dance|dancing|man
	🕺🏻;man dancing: light skin tone;dance|dancing|light skin tone|man|man dancing: light skin tone
	🕺🏼;man dancing: medium-light skin tone;dance|dancing|man|man dancing: medium-light skin tone|medium-light skin tone
	🕺🏽;man dancing: medium skin tone;dance|dancing|man|man dancing: medium skin tone|medium skin tone
	🕺🏾;man dancing: medium-dark skin tone;dance|dancing|man|man dancing: medium-dark skin tone|medium-dark skin tone
	🕺🏿;man dancing: dark skin tone;dance|dancing|dark skin tone|man|man dancing: dark skin tone
🕴️;person in suit levitating;business|person|person in suit levitating|suit
	🕴🏻;person in suit levitating: light skin tone;business|light skin tone|person|person in suit levitating|person in suit levitating: light skin tone|suit
	🕴🏼;person in suit levitating: medium-light skin tone;business|medium-light skin tone|person|person in suit levitating|person in suit levitating: medium-light skin tone|suit
	🕴🏽;person in suit levitating: medium skin tone;business|medium skin tone|person|person in suit levitating|person in suit levitating: medium skin tone|suit
	🕴🏾;person in suit levitating: medium-dark skin tone;business|medium-dark skin tone|person|person in suit levitating|person in suit levitating: medium-dark skin tone|suit
	🕴🏿;person in suit levitating: dark skin tone;business|dark skin tone|person|person in suit levitating|person in suit levitating: dark skin tone|suit
👯;people with bunny ears;bunny ear|dancer|partying|people with bunny ears
👯‍♂️;men with bunny ears;bunny ear|dancer|men|men with bunny ears|partying
👯‍♀️;women with bunny ears;bunny ear|dancer|partying|women|women with bunny ears
🧖;person in steamy room;person in steamy room|sauna|steam room
	🧖🏻;person in steamy room: light skin tone;light skin tone|person in steamy room|person in steamy room: light skin tone|sauna|steam room
	🧖🏼;person in steamy room: medium-light skin tone;medium-light skin tone|person in steamy room|person in steamy room: medium-light skin tone|sauna|steam room
