# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
	⛹🏿‍♂️;Mann mit Ball: dunkle Hautfarbe;Ballsport|dunkle Hautfarbe|Handball|Mann|Mann mit Ball|Mann mit Ball: dunkle Hautfarbe
⛹️‍♀️;Frau mit Ball;Ballsport|Frau|Frau mit Ball|Handball
	⛹🏻‍♀️;Frau mit Ball: helle Hautfarbe;Ballsport|Frau|Frau mit Ball|Frau mit Ball: helle Hautfarbe|Handball|helle Hautfarbe
	⛹🏼‍♀️;Frau mit Ball: mittelhelle Hautfarbe;Ballsport|Frau|Frau mit Ball|Frau mit Ball: mittelhelle Hautfarbe|Handball|mittelhelle Hautfarbe
	⛹🏽‍♀️;Frau mit Ball: mittlere Hautfarbe;Ballsport|Frau|Frau mit Ball|Frau mit Ball: mittlere Hautfarbe|Handball|mittlere Hautfarbe
	⛹🏾‍♀️;Frau mit Ball: mitteldunkle Hautfarbe;Ballsport|Frau|Frau mit Ball|Frau mit Ball: mitteldunkle Hautfarbe|Handball|mitteldunkle Hautfarbe
	⛹🏿‍♀️;Frau mit Ball: dunkle Hautfarbe;Ballsport|dunkle Hautfarbe|Frau|Frau mit Ball|Frau mit Ball: dunkle Hautfarbe|Handball
🏋️;Gewichtheber(in);Gewicht|Gewichtheber(in)
	🏋🏻;Gewichtheber(in): helle Hautfarbe;Gewicht|Gewichtheber(in)|Gewichtheber(in): helle Hautfarbe|helle Hautfarbe
	🏋🏼;Gewichtheber(in): mittelhelle Hautfarbe;Gewicht|Gewichtheber(in)|Gewichtheber(in): mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🏋🏽;Gewichtheber(in): mittlere Hautfarbe;Gewicht|Gewichtheber(in)|Gewichtheber(in): mittlere Hautfarbe|mittlere Hautfarbe
	🏋🏾;Gewichtheber(in): mitteldunkle Hautfarbe;Gewicht|Gewichtheber(in)|Gewichtheber(in): mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🏋🏿;Gewichtheber(in): dunkle Hautfarbe;dunkle Hautfarbe|Gewicht|Gewichtheber(in)|Gewichtheber(in): dunkle Hautfarbe
🏋️‍♂️;Gewichtheber;Gewicht heben|Gewichtheber|Mann
	🏋🏻‍♂️;Gewichtheber: helle Hautfarbe;Gewicht heben|Gewichtheber|Gewichtheber: helle Hautfarbe|helle Hautfarbe|Mann
	🏋🏼‍♂️;Gewichtheber: mittelhelle Hautfarbe;Gewicht heben|Gewichtheber|Gewichtheber: mittelhelle Hautfarbe|Mann|mittelhelle Hautfarbe
	🏋🏽‍♂️;Gewichtheber: mittlere Hautfarbe;Gewicht heben|Gewichtheber|Gewichtheber: mittlere Hautfarbe|Mann|mittlere Hautfarbe
	🏋🏾‍♂️;Gewichtheber: mitteldunkle Hautfarbe;Gewicht heben|Gewichtheber|Gewichtheber: mitteldunkle Hautfarbe|Mann|mitteldunkle Hautfarbe
	🏋🏿‍♂️;Gewichtheber: dunkle Hautfarbe;dunkle Hautfarbe|Gewicht heben|Gewichtheber|Gewichtheber: dunkle Hautfarbe|Mann
🏋️‍♀️;Gewichtheberin;Frau|Gewicht heben|Gewichtheberin
	🏋🏻‍♀️;Gewichtheberin: helle Hautfarbe;Frau|Gewicht heben|Gewichtheberin|Gewichtheberin: helle Hautfarbe|helle Hautfarbe
	🏋🏼‍♀️;Gewichtheberin: mittelhelle Hautfarbe;Frau|Gewicht heben|Gewichtheberin|Gewichtheberin: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🏋🏽‍♀️;Gewichtheberin: mittlere Hautfarbe;Frau|Gewicht heben|Gewichtheberin|Gewichtheberin: mittlere Hautfarbe|mittlere Hautfarbe
	🏋🏾‍♀️;Gewichtheberin: mitteldunkle Hautfarbe;Frau|Gewicht heben|Gewichtheberin|Gewichtheberin: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🏋🏿‍♀️;Gewichtheberin: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Gewicht heben|Gewichtheberin|Gewichtheberin: dunkle Hautfarbe
🚴;Radfahrer(in);Radfahren|Radfahrer|Radfahrer(in)
	🚴🏻;Radfahrer(in): helle Hautfarbe;helle Hautfarbe|Radfahren|Radfahrer|Radfahrer(in)|Radfahrer(in): helle Hautfarbe
	🚴🏼;Radfahrer(in): mittelhelle Hautfarbe;mittelhelle Hautfarbe|Radfahren|Radfahrer|Radfahrer(in)|Radfahrer(in): mittelhelle Hautfarbe
	🚴🏽;Radfahrer(in): mittlere Hautfarbe;mittlere Hautfarbe|Radfahren|Radfahrer|Radfahrer(in)|Radfahrer(in): mittlere Hautfarbe
	🚴🏾;Radfahrer(in): mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Radfahren|Radfahrer|Radfahrer(in)|Radfahrer(in): mitteldunkle Hautfarbe
	🚴🏿;Radfahrer(in): dunkle Hautfarbe;dunkle Hautfarbe|Radfahren|Radfahrer|Radfahrer(in)|Radfahrer(in): dunkle Hautfarbe
🚴‍♂️;Radfahrer;Fahrrad|Mann|Rad|Radfahrer
	🚴🏻‍♂️;Radfahrer: helle Hautfarbe;Fahrrad|helle Hautfarbe|Mann|Rad|Radfahrer|Radfahrer: helle Hautfarbe
	🚴🏼‍♂️;Radfahrer: mittelhelle Hautfarbe;Fahrrad|Mann|mittelhelle Hautfarbe|Rad|Radfahrer|Radfahrer: mittelhelle Hautfarbe
	🚴🏽‍♂️;Radfahrer: mittlere Hautfarbe;Fahrrad|Mann|mittlere Hautfarbe|Rad|Radfahrer|Radfahrer: mittlere Hautfarbe
	🚴🏾‍♂️;Radfahrer: mitteldunkle Hautfarbe;Fahrrad|Mann|mitteldunkle Hautfarbe|Rad|Radfahrer|Radfahrer: mitteldunkle Hautfarbe
	🚴🏿‍♂️;Radfahrer: dunkle Hautfarbe;dunkle Hautfarbe|Fahrrad|Mann|Rad|Radfahrer|Radfahrer: dunkle Hautfarbe
🚴‍♀️;Radfahrerin;Fahrrad|Frau|Rad|Radfahrerin
	🚴🏻‍♀️;Radfahrerin: helle Hautfarbe;Fahrrad|Frau|helle Hautfarbe|Rad|Radfahrerin|Radfahrerin: helle Hautfarbe
	🚴🏼‍♀️;Radfahrerin: mittelhelle Hautfarbe;Fahrrad|Frau|mittelhelle Hautfarbe|Rad|Radfahrerin|Radfahrerin: mittelhelle Hautfarbe
	🚴🏽‍♀️;Radfahrerin: mittlere Hautfarbe;Fahrrad|Frau|mittlere Hautfarbe|Rad|Radfahrerin|Radfahrerin: mittlere Hautfarbe
	🚴🏾‍♀️;Radfahrerin: mitteldunkle Hautfarbe;Fahrrad|Frau|mitteldunkle Hautfarbe|Rad|Radfahrerin|Radfahrerin: mitteldunkle Hautfarbe
	🚴🏿‍♀️;Radfahrerin: dunkle Hautfarbe;dunkle Hautfarbe|Fahrrad|Frau|Rad|Radfahrerin|Radfahrerin: dunkle Hautfarbe
🚵;Mountainbiker(in);Mountainbiker(in)|Radfahren
	🚵🏻;Mountainbiker(in): helle Hautfarbe;helle Hautfarbe|Mountainbiker(in)|Mountainbiker(in): helle Hautfarbe|Radfahren
	🚵🏼;Mountainbiker(in): mittelhelle Hautfarbe;mittelhelle Hautfarbe|Mountainbiker(in)|Mountainbiker(in): mittelhelle Hautfarbe|Radfahren
	🚵🏽;Mountainbiker(in): mittlere Hautfarbe;mittlere Hautfarbe|Mountainbiker(in)|Mountainbiker(in): mittlere Hautfarbe|Radfahren
	🚵🏾;Mountainbiker(in): mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Mountainbiker(in)|Mountainbiker(in): mitteldunkle Hautfarbe|Radfahren
	🚵🏿;Mountainbiker(in): dunkle Hautfarbe;dunkle Hautfarbe|Mountainbiker(in)|Mountainbiker(in): dunkle Hautfarbe|Radfahren
🚵‍♂️;Mountainbiker;Fahrrad|Mann|Mountainbike|Mountainbiker|Rad
	🚵🏻‍♂️;Mountainbiker: helle Hautfarbe;Fahrrad|helle Hautfarbe|Mann|Mountainbike|Mountainbiker|Mountainbiker: helle Hautfarbe|Rad
	🚵🏼‍♂️;Mountainbiker: mittelhelle Hautfarbe;Fahrrad|Mann|mittelhelle Hautfarbe|Mountainbike|Mountainbiker|Mountainbiker: mittelhelle Hautfarbe|Rad
	🚵🏽‍♂️;Mountainbiker: mittlere Hautfarbe;Fahrrad|Mann|mittlere Hautfarbe|Mountainbike|Mountainbiker|Mountainbiker: mittlere Hautfarbe|Rad
	🚵🏾‍♂️;Mountainbiker: mitteldunkle Hautfarbe;Fahrrad|Mann|mitteldunkle Hautfarbe|Mountainbike|Mountainbiker|Mountainbiker: mitteldunkle Hautfarbe|Rad
	🚵🏿‍♂️;Mountainbiker: dunkle Hautfarbe;dunkle Hautfarbe|Fahrrad|Mann|Mountainbike|Mountainbiker|Mountainbiker: dunkle Hautfarbe|Rad
🚵‍♀️;Mountainbikerin;Fahrrad|Frau|Mountainbike|Mountainbikerin|Rad
	🚵🏻‍♀️;Mountainbikerin: helle Hautfarbe;Fahrrad|Frau|helle Hautfarbe|Mountainbike|Mountainbikerin|Mountainbikerin: helle Hautfarbe|Rad
	🚵🏼‍♀️;Mountainbikerin: mittelhelle Hautfarbe;Fahrrad|Frau|mittelhelle Hautfarbe|Mountainbike|Mountainbikerin|Mountainbikerin: mittelhelle Hautfarbe|Rad
	🚵🏽‍♀️;Mountainbikerin: mittlere Hautfarbe;Fahrrad|Frau|mittlere Hautfarbe|Mountainbike|Mountainbikerin|Mountainbikerin: mittlere Hautfarbe|Rad
	🚵🏾‍♀️;Mountainbikerin: mitteldunkle Hautfarbe;Fahrrad|Frau|mitteldunkle Hautfarbe|Mountainbike|Mountainbikerin|Mountainbikerin: mitteldunkle Hautfarbe|Rad
	🚵🏿‍♀️;Mountainbikerin: dunkle Hautfarbe;dunkle Hautfarbe|Fahrrad|Frau|Mountainbike|Mountainbikerin|Mountainbikerin: dunkle Hautfarbe|Rad
🤸;Rad schlagende Person;Bodenturnen|Person|Rad schlagende Person|Radschlag
	🤸🏻;Rad schlagende Person: helle Hautfarbe;Bodenturnen|helle Hautfarbe|Person|Rad schlagende Person|Rad schlagende Person: helle Hautfarbe|Radschlag
	🤸🏼;Rad schlagende Person: mittelhelle Hautfarbe;Bodenturnen|mittelhelle Hautfarbe|Person|Rad schlagende Person|Rad schlagende Person: mittelhelle Hautfarbe|Radschlag
	🤸🏽;Rad schlagende Person: mittlere Hautfarbe;Bodenturnen|mittlere Hautfarbe|Person|Rad schlagende Person|Rad schlagende Person: mittlere Hautfarbe|Radschlag
	🤸🏾;Rad schlagende Person: mitteldunkle Hautfarbe;Bodenturnen|mitteldunkle Hautfarbe|Person|Rad schlagende Person|Rad schlagende Person: mitteldunkle Hautfarbe|Radschlag
	🤸🏿;Rad schlagende Person: dunkle Hautfarbe;Bodenturnen|dunkle Hautfarbe|Person|Rad schlagende Person|Rad schlagende Person: dunkle Hautfarbe|Radschlag
🤸‍♂️;Rad schlagender Mann;Bodenturnen|Mann|Rad schlagender Mann|Radschlag
	🤸🏻‍♂️;Rad schlagender Mann: helle Hautfarbe;Bodenturnen|helle Hautfarbe|Mann|Rad schlagender Mann|Rad schlagender Mann: helle Hautfarbe|Radschlag
	🤸🏼‍♂️;Rad schlagender Mann: mittelhelle Hautfarbe;Bodenturnen|Mann|mittelhelle Hautfarbe|Rad schlagender Mann|Rad schlagender Mann: mittelhelle Hautfarbe|Radschlag
	🤸🏽‍♂️;Rad schlagender Mann: mittlere Hautfarbe;Bodenturnen|Mann|mittlere Hautfarbe|Rad schlagender Mann|Rad schlagender Mann: mittlere Hautfarbe|Radschlag
	🤸🏾‍♂️;Rad schlagender Mann: mitteldunkle Hautfarbe;Bodenturnen|Mann|mitteldunkle Hautfarbe|Rad schlagender Mann|Rad schlagender Mann: mitteldunkle Hautfarbe|Radschlag
	🤸🏿‍♂️;Rad schlagender Mann: dunkle Hautfarbe;Bodenturnen|dunkle Hautfarbe|Mann|Rad schlagender Mann|Rad schlagender Mann: dunkle Hautfarbe|Radschlag
🤸‍♀️;Rad schlagende Frau;Bodenturnen|Frau|Rad schlagende Frau|Radschlag
	🤸🏻‍♀️;Rad schlagende Frau: helle Hautfarbe;Bodenturnen|Frau|helle Hautfarbe|Rad schlagende Frau|Rad schlagende Frau: helle Hautfarbe|Radschlag
	🤸🏼‍♀️;Rad schlagende Frau: mittelhelle Hautfarbe;Bodenturnen|Frau|mittelhelle Hautfarbe|Rad schlagende Frau|Rad schlagende Frau: mittelhelle Hautfarbe|Radschlag
	🤸🏽‍♀️;Rad schlagende Frau: mittlere Hautfarbe;Bodenturnen|Frau|mittlere Hautfarbe|Rad schlagende Frau|Rad schlagende Frau: mittlere Hautfarbe|Radschlag
	🤸🏾‍♀️;Rad schlagende Frau: mitteldunkle Hautfarbe;Bodenturnen|Frau|mitteldunkle Hautfarbe|Rad schlagende Frau|Rad schlagende Frau: mitteldunkle Hautfarbe|Radschlag
	🤸🏿‍♀️;Rad schlagende Frau: dunkle Hautfarbe;Bodenturnen|dunkle Hautfarbe|Frau|Rad schlagende Frau|Rad schlagende Frau: dunkle Hautfarbe|Radschlag
🤼;Ringer(in);Ringer|Ringer(in)|Ringkampf|Wrestling
🤼‍♂️;ringende Männer;ringende Männer|Ringer|Ringkampf|Wrestling
🤼‍♀️;ringende Frauen;ringende Frauen|Ringer|Ringkampf|Wrestling
🤽;Wasserballspieler(in);Sport|Wasser|Wasserball|Wasserballspieler(in)
	🤽🏻;Wasserballspieler(in): helle Hautfarbe;helle Hautfarbe|Sport|Wasser|Wasserball|Wasserballspieler(in)|Wasserballspieler(in): helle Hautfarbe
	🤽🏼;Wasserballspieler(in): mittelhelle Hautfarbe;mittelhelle Hautfarbe|Sport|Wasser|Wasserball|Wasserballspieler(in)|Wasserballspieler(in): mittelhelle Hautfarbe
	🤽🏽;Wasserballspieler(in): mittlere Hautfarbe;mittlere Hautfarbe|Sport|Wasser|Wasserball|Wasserballspieler(in)|Wasserballspieler(in): mittlere Hautfarbe
	🤽🏾;Wasserballspieler(in): mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Sport|Wasser|Wasserball|Wasserballspieler(in)|Wasserballspieler(in): mitteldunkle Hautfarbe
	🤽🏿;Wasserballspieler(in): dunkle Hautfarbe;dunkle Hautfarbe|Sport|Wasser|Wasserball|Wasserballspieler(in)|Wasserballspieler(in): dunkle Hautfarbe
🤽‍♂️;Wasserballspieler;Wasser|Wasserball|Wasserballspieler|Wassersport
	🤽🏻‍♂️;Wasserballspieler: helle Hautfarbe;helle Hautfarbe|Wasser|Wasserball|Wasserballspieler|Wasserballspieler: helle Hautfarbe|Wassersport
	🤽🏼‍♂️;Wasserballspieler: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Wasser|Wasserball|Wasserballspieler|Wasserballspieler: mittelhelle Hautfarbe|Wassersport
	🤽🏽‍♂️;Wasserballspieler: mittlere Hautfarbe;mittlere Hautfarbe|Wasser|Wasserball|Wasserballspieler|Wasserballspieler: mittlere Hautfarbe|Wassersport
	🤽🏾‍♂️;Wasserballspieler: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Wasser|Wasserball|Wasserballspieler|Wasserballspieler: mitteldunkle Hautfarbe|Wassersport
	🤽🏿‍♂️;Wasserballspieler: dunkle Hautfarbe;dunkle Hautfarbe|Wasser|Wasserball|Wasserballspieler|Wasserballspieler: dunkle Hautfarbe|Wassersport
🤽‍♀️;Wasserballspielerin;Wasser|Wasserball|Wasserballspielerin|Wassersport
	🤽🏻‍♀️;Wasserballspielerin: helle Hautfarbe;helle Hautfarbe|Wasser|Wasserball|Wasserballspielerin|Wasserballspielerin: helle Hautfarbe|Wassersport
	🤽🏼‍♀️;Wasserballspielerin: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Wasser|Wasserball|Wasserballspielerin|Wasserballspielerin: mittelhelle Hautfarbe|Wassersport
	🤽🏽‍♀️;Wasserballspielerin: mittlere Hautfarbe;mittlere Hautfarbe|Wasser|Wasserball|Wasserballspielerin|Wasserballspielerin: mittlere Hautfarbe|Wassersport
	🤽🏾‍♀️;Wasserballspielerin: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Wasser|Wasserball|Wasserballspielerin|Wasserballspielerin: mitteldunkle Hautfarbe|Wassersport
	🤽🏿‍♀️;Wasserballspielerin: dunkle Hautfarbe;dunkle Hautfarbe|Wasser|Wasserball|Wasserballspielerin|Wasserballspielerin: dunkle Hautfarbe|Wassersport
🤾;Handballspieler(in);Handball|Handballspieler(in)|Sport
	🤾🏻;Handballspieler(in): helle Hautfarbe;Handball|Handballspieler(in)|Handballspieler(in): helle Hautfarbe|helle Hautfarbe|Sport
	🤾🏼;Handballspieler(in): mittelhelle Hautfarbe;Handball|Handballspieler(in)|Handballspieler(in): mittelhelle Hautfarbe|mittelhelle Hautfarbe|Sport
	🤾🏽;Handballspieler(in): mittlere Hautfarbe;Handball|Handballspieler(in)|Handballspieler(in): mittlere Hautfarbe|mittlere Hautfarbe|Sport
	🤾🏾;Handballspieler(in): mitteldunkle Hautfarbe;Handball|Handballspieler(in)|Handballspieler(in): mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Sport
	🤾🏿;Handballspieler(in): dunkle Hautfarbe;dunkle Hautfarbe|Handball|Handballspieler(in)|Handballspieler(in): dunkle Hautfarbe|Sport
🤾‍♂️;Handballspieler;Handball|Handballspieler|Mann
	🤾🏻‍♂️;Handballspieler: helle Hautfarbe;Handball|Handballspieler|Handballspieler: helle Hautfarbe|helle Hautfarbe|Mann
	🤾🏼‍♂️;Handballspieler: mittelhelle Hautfarbe;Handball|Handballspieler|Handballspieler: mittelhelle Hautfarbe|Mann|mittelhelle Hautfarbe
	🤾🏽‍♂️;Handballspieler: mittlere Hautfarbe;Handball|Handballspieler|Handballspieler: mittlere Hautfarbe|Mann|mittlere Hautfarbe
	🤾🏾‍♂️;Handballspieler: mitteldunkle Hautfarbe;Handball|Handballspieler|Handballspieler: mitteldunkle Hautfarbe|Mann|mitteldunkle Hautfarbe
	🤾🏿‍♂️;Handballspieler: dunkle Hautfarbe;dunkle Hautfarbe|Handball|Handballspieler|Handballspieler: dunkle Hautfarbe|Mann
🤾‍♀️;Handballspielerin;Frau|Handball|Handballspielerin
	🤾🏻‍♀️;Handballspielerin: helle Hautfarbe;Frau|Handball|Handballspielerin|Handballspielerin: helle Hautfarbe|helle Hautfarbe
	🤾🏼‍♀️;Handballspielerin: mittelhelle Hautfarbe;Frau|Handball|Handballspielerin|Handballspielerin: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🤾🏽‍♀️;Handballspielerin: mittlere Hautfarbe;Frau|Handball|Handballspielerin|Handballspielerin: mittlere Hautfarbe|mittlere Hautfarbe
	🤾🏾‍♀️;Handballspielerin: mitteldunkle Hautfarbe;Frau|Handball|Handballspielerin|Handballspielerin: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🤾🏿‍♀️;Handballspielerin: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Handball|Handballspielerin|Handballspielerin: dunkle Hautfarbe
🤹;Jongleur(in);geschickt|Jongleur(in)|jonglieren|Multitasking
	🤹🏻;Jongleur(in): helle Hautfarbe;geschickt|helle Hautfarbe|Jongleur(in)|Jongleur(in): helle Hautfarbe|jonglieren|Multitasking
	🤹🏼;Jongleur(in): mittelhelle Hautfarbe;geschickt|Jongleur(in)|Jongleur(in): mittelhelle Hautfarbe|jonglieren|mittelhelle Hautfarbe|Multitasking
	🤹🏽;Jongleur(in): mittlere Hautfarbe;geschickt|Jongleur(in)|Jongleur(in): mittlere Hautfarbe|jonglieren|mittlere Hautfarbe|Multitasking
	🤹🏾;Jongleur(in): mitteldunkle Hautfarbe;geschickt|Jongleur(in)|Jongleur(in): mitteldunkle Hautfarbe|jonglieren|mitteldunkle Hautfarbe|Multitasking
	🤹🏿;Jongleur(in): dunkle Hautfarbe;dunkle Hautfarbe|geschickt|Jongleur(in)|Jongleur(in): dunkle Hautfarbe|jonglieren|Multitasking
🤹‍♂️;Jongleur;geschickt|Jongleur|jonglieren|Mann|Multitasking
	🤹🏻‍♂️;Jongleur: helle Hautfarbe;geschickt|helle Hautfarbe|Jongleur|Jongleur: helle Hautfarbe|jonglieren|Mann|Multitasking
	🤹🏼‍♂️;Jongleur: mittelhelle Hautfarbe;geschickt|Jongleur|Jongleur: mittelhelle Hautfarbe|jonglieren|Mann|mittelhelle Hautfarbe|Multitasking
	🤹🏽‍♂️;Jongleur: mittlere Hautfarbe;geschickt|Jongleur|Jongleur: mittlere Hautfarbe|jonglieren|Mann|mittlere Hautfarbe|Multitasking
	🤹🏾‍♂️;Jongleur: mitteldunkle Hautfarbe;geschickt|Jongleur|Jongleur: mitteldunkle Hautfarbe|jonglieren|Mann|mitteldunkle Hautfarbe|Multitasking
	🤹🏿‍♂️;Jongleur: dunkle Hautfarbe;dunkle Hautfarbe|geschickt|Jongleur|Jongleur: dunkle Hautfarbe|jonglieren|Mann|Multitasking
🤹‍♀️;Jongleurin;Frau|geschickt|Jongleurin|jonglieren|Multitasking
	🤹🏻‍♀️;Jongleurin: helle Hautfarbe;Frau|geschickt|helle Hautfarbe|Jongleurin|Jongleurin: helle Hautfarbe|jonglieren|Multitasking
	🤹🏼‍♀️;Jongleurin: mittelhelle Hautfarbe;Frau|geschickt|Jongleurin|Jongleurin: mittelhelle Hautfarbe|jonglieren|mittelhelle Hautfarbe|Multitasking
	🤹🏽‍♀️;Jongleurin: mittlere Hautfarbe;Frau|geschickt|Jongleurin|Jongleurin: mittlere Hautfarbe|jonglieren|mittlere Hautfarbe|Multitasking
	🤹🏾‍♀️;Jongleurin: mitteldunkle Hautfarbe;Frau|geschickt|Jongleurin|Jongleurin: mitteldunkle Hautfarbe|jonglieren|mitteldunkle Hautfarbe|Multitasking
	🤹🏿‍♀️;Jongleurin: dunkle Hautfarbe;dunkle Hautfarbe|Frau|geschickt|Jongleurin|Jongleurin: dunkle Hautfarbe|jonglieren|Multitasking
🧘;Person im Lotossitz;Meditation|Person im Lotossitz|Yoga
	🧘🏻;Person im Lotossitz: helle Hautfarbe;helle Hautfarbe|Meditation|Person im Lotossitz|Person im Lotossitz: helle Hautfarbe|Yoga
	🧘🏼;Person im Lotossitz: mittelhelle Hautfarbe;Meditation|mittelhelle Hautfarbe|Person im Lotossitz|Person im Lotossitz: mittelhelle Hautfarbe|Yoga
	🧘🏽;Person im Lotossitz: mittlere Hautfarbe;Meditation|mittlere Hautfarbe|Person im Lotossitz|Person im Lotossitz: mittlere Hautfarbe|Yoga
	🧘🏾;Person im Lotossitz: mitteldunkle Hautfarbe;Meditation|mitteldunkle Hautfarbe|Person im Lotossitz|Person im Lotossitz: mitteldunkle Hautfarbe|Yoga
	🧘🏿;Person im Lotossitz: dunkle Hautfarbe;dunkle Hautfarbe|Meditation|Person im Lotossitz|Person im Lotossitz: dunkle Hautfarbe|Yoga
🧘‍♂️;Mann im Lotossitz;Mann im Lotossitz|Meditation|Yoga
	🧘🏻‍♂️;Mann im Lotossitz: helle Hautfarbe;helle Hautfarbe|Mann im Lotossitz|Mann im Lotossitz: helle Hautfarbe|Meditation|Yoga
	🧘🏼‍♂️;Mann im Lotossitz: mittelhelle Hautfarbe;Mann im Lotossitz|Mann im Lotossitz: mittelhelle Hautfarbe|Meditation|mittelhelle Hautfarbe|Yoga
	🧘🏽‍♂️;Mann im Lotossitz: mittlere Hautfarbe;Mann im Lotossitz|Mann im Lotossitz: mittlere Hautfarbe|Meditation|mittlere Hautfarbe|Yoga
	🧘🏾‍♂️;Mann im Lotossitz: mitteldunkle Hautfarbe;Mann im Lotossitz|Mann im Lotossitz: mitteldunkle Hautfarbe|Meditation|mitteldunkle Hautfarbe|Yoga
	🧘🏿‍♂️;Mann im Lotossitz: dunkle Hautfarbe;dunkle Hautfarbe|Mann im Lotossitz|Mann im Lotossitz: dunkle Hautfarbe|Meditation|Yoga
🧘‍♀️;Frau im Lotossitz;Frau im Lotossitz|Meditation|Yoga
	🧘🏻‍♀️;Frau im Lotossitz: helle Hautfarbe;Frau im Lotossitz|Frau im Lotossitz: helle Hautfarbe|helle Hautfarbe|Meditation|Yoga
	🧘🏼‍♀️;Frau im Lotossitz: mittelhelle Hautfarbe;Frau im Lotossitz|Frau im Lotossitz: mittelhelle Hautfarbe|Meditation|mittelhelle Hautfarbe|Yoga
	🧘🏽‍♀️;Frau im Lotossitz: mittlere Hautfarbe;Frau im Lotossitz|Frau im Lotossitz: mittlere Hautfarbe|Meditation|mittlere Hautfarbe|Yoga
	🧘🏾‍♀️;Frau im Lotossitz: mitteldunkle Hautfarbe;Frau im Lotossitz|Frau im Lotossitz: mitteldunkle Hautfarbe|Meditation|mitteldunkle Hautfarbe|Yoga
	🧘🏿‍♀️;Frau im Lotossitz: dunkle Hautfarbe;dunkle Hautfarbe|Frau im Lotossitz|Frau im Lotossitz: dunkle Hautfarbe|Meditation|Yoga
🛀;badende Person;Bad|badende Person|Badewanne|Badezimmer
	🛀🏻;badende Person: helle Hautfarbe;Bad|badende Person|badende Person: helle Hautfarbe|Badewanne|Badezimmer|helle Hautfarbe
	🛀🏼;badende Person: mittelhelle Hautfarbe;Bad|badende Person|badende Person: mittelhelle Hautfarbe|Badewanne|Badezimmer|mittelhelle Hautfarbe
	🛀🏽;badende Person: mittlere Hautfarbe;Bad|badende Person|badende Person: mittlere Hautfarbe|Badewanne|Badezimmer|mittlere Hautfarbe
	🛀🏾;badende Person: mitteldunkle Hautfarbe;Bad|badende Person|badende Person: mitteldunkle Hautfarbe|Badewanne|Badezimmer|mitteldunkle Hautfarbe
	🛀🏿;badende Person: dunkle Hautfarbe;Bad|badende Person|badende Person: dunkle Hautfarbe|Badewanne|Badezimmer|dunkle Hautfarbe
🛌;im Bett liegende Person;Bett|im Bett liegende Person|schlafen
	🛌🏻;im Bett liegende Person: helle Hautfarbe;Bett|helle Hautfarbe|im Bett liegende Person|im Bett liegende Person: helle Hautfarbe|schlafen
	🛌🏼;im Bett liegende Person: mittelhelle Hautfarbe;Bett|im Bett liegende Person|im Bett liegende Person: mittelhelle Hautfarbe|mittelhelle Hautfarbe|schlafen
	🛌🏽;im Bett liegende Person: mittlere Hautfarbe;Bett|im Bett liegende Person|im Bett liegende Person: mittlere Hautfarbe|mittlere Hautfarbe|schlafen
	🛌🏾;im Bett liegende Person: mitteldunkle Hautfarbe;Bett|im Bett liegende Person|im Bett liegende Person: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|schlafen
	🛌🏿;im Bett liegende Person: dunkle Hautfarbe;Bett|dunkle Hautfarbe|im Bett liegende Person|im Bett liegende Person: dunkle Hautfarbe|schlafen
🧑‍🤝‍🧑;sich an den Händen haltende Personen;Hände|Hände halten|Paar|sich an den Händen haltende Personen
	🧑🏻‍🤝‍🧑🏻;sich an den Händen haltende Personen: helle Hautfarbe;Hände|Hände halten|helle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: helle Hautfarbe
	🧑🏻‍🤝‍🧑🏼;sich an den Händen haltende Personen: helle Hautfarbe, mittelhelle Hautfarbe;Hände|Hände halten|helle Hautfarbe|mittelhelle Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: helle Hautfarbe, mittelhelle Hautfarbe
	🧑🏻‍🤝‍🧑🏽;sich an den Händen haltende Personen: helle Hautfarbe, mittlere Hautfarbe;Hände|Hände halten|helle Hautfarbe|mittlere Hautfarbe|Paar|sich an den Händen haltende Personen|sich an den Händen haltende Personen: helle Hautfarbe, mittlere Hautfarbe
